model,label,tp,pp,layer_split,ffn_splits,head_splits,kv_splits,workload,in_len,out_len,n_req,tps,ttft_ms,itl_ms,regime,n_layers,hidden,ffn_dim,n_q,n_kv,head_dim,params_b,vocab,source_dir
70b,TP1PP8_layer_blackbias_12-12-12-12-8-8-8-8,1,8,12-12-12-12-8-8-8-8,28672,64,8,balanced,512,256,128,705.691355,7483.359623,151.112726,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_blackbias_12-12-12-12-8-8-8-8,1,8,12-12-12-12-8-8-8-8,28672,64,8,decode_heavy,128,512,128,784.18671,6134.129736,150.66444,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_blackbias_12-12-12-12-8-8-8-8,1,8,12-12-12-12-8-8-8-8,28672,64,8,prefill_heavy,1024,128,128,584.123577,8419.484438,151.374707,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_blackbias_14-14-14-14-6-6-6-6,1,8,14-14-14-14-6-6-6-6,28672,64,8,balanced,512,256,128,805.326289,5661.820042,135.734384,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_blackbias_14-14-14-14-6-6-6-6,1,8,14-14-14-14-6-6-6-6,28672,64,8,decode_heavy,128,512,128,840.43597,8776.399791,134.599496,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_blackbias_14-14-14-14-6-6-6-6,1,8,14-14-14-14-6-6-6-6,28672,64,8,prefill_heavy,1024,128,128,589.557558,9931.296282,137.426086,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_uniform_10x8,1,8,10-10-10-10-10-10-10-10,28672,64,8,balanced,512,256,128,533.479143,13939.915792,184.167015,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_uniform_10x8,1,8,10-10-10-10-10-10-10-10,28672,64,8,decode_heavy,128,512,128,632.756067,9561.214195,183.086124,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP1PP8_layer_uniform_10x8,1,8,10-10-10-10-10-10-10-10,28672,64,8,prefill_heavy,1024,128,128,511.431313,8261.766241,183.77787,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_185112
70b,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,14336:14336,32:32,4:4,balanced,512,256,128,1182.043113,4216.487301,91.709212,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
